Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,Sales,1,2,Life Sciences,1,1,Female,2,Sales Executive,Single,5993,8,Y,Yes,11,80,0,8,0,6,0,5
49,No,Travel_Frequently,Research & Development,8,1,Life Sciences,1,2,Male,2,Research Scientist,Married,5130,1,Y,No,23,80,1,10,3,10,1,7
37,Yes,Travel_Rarely,Research & Development,2,2,Other,1,4,Male,1,Laboratory Technician,Single,2090,6,Y,Yes,15,80,0,7,3,0,0,0
33,No,Travel_Frequently,Research & Development,3,4,Life Sciences,1,5,Female,1,Research Scientist,Married,2909,1,Y,Yes,11,80,0,8,3,8,3,0
27,No,Travel_Rarely,Research & Development,2,1,Medical,1,7,Male,1,Laboratory Technician,Married,3468,9,Y,No,12,80,1,6,3,2,2,2
32,No,Travel_Frequently,Research & Development,2,2,Life Sciences,1,8,Male,1,Laboratory Technician,Single,3068,0,Y,No,13,80,0,8,2,7,3,6
59,No,Travel_Rarely,Research & Development,3,3,Medical,1,10,Female,1,Laboratory Technician,Married,2670,4,Y,Yes,20,80,3,12,3,1,0,0
30,No,Travel_Rarely,Research & Development,24,1,Life Sciences,1,11,Male,1,Laboratory Technician,Divorced,2693,1,Y,No,22,80,1,1,2,1,0,0
38,No,Travel_Frequently,Research & Development,23,3,Life Sciences,1,12,Male,3,Manufacturing Director,Single,9526,0,Y,No,21,80,0,10,2,9,1,8
36,No,Travel_Rarely,Research & Development,27,3,Medical,1,13,Male,2,Healthcare Representative,Married,5237,6,Y,No,13,80,2,17,3,7,7,7
35,No,Travel_Rarely,Research & Development,16,3,Medical,1,14,Male,1,Laboratory Technician,Married,2426,0,Y,No,13,80,1,6,5,5,0,3
29,No,Travel_Rarely,Research & Development,15,2,Life Sciences,1,15,Female,2,Laboratory Technician,Single,4193,0,Y,Yes,12,80,0,10,3,9,0,8
31,No,Travel_Rarely,Research & Development,26,1,Life Sciences,1,16,Male,1,Research Scientist,Divorced,2911,1,Y,No,17,80,1,5,1,5,4,3
34,No,Travel_Rarely,Research & Development,19,2,Medical,1,18,Male,1,Laboratory Technician,Divorced,2661,0,Y,No,11,80,1,3,2,2,1,2
28,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,1,19,Male,1,Laboratory Technician,Single,2028,5,Y,Yes,14,80,0,6,4,4,0,3
29,No,Travel_Rarely,Research & Development,21,4,Life Sciences,1,20,Female,3,Manufacturing Director,Divorced,9980,1,Y,No,11,80,1,10,1,10,8,8
32,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,21,Male,1,Research Scientist,Divorced,3298,0,Y,Yes,12,80,2,7,5,6,0,5
22,No,Non-Travel,Research & Development,16,2,Medical,1,22,Male,1,Laboratory Technician,Divorced,2935,1,Y,Yes,13,80,2,1,2,1,0,0
53,No,Travel_Rarely,Sales,2,4,Life Sciences,1,23,Female,4,Manager,Married,15427,2,Y,No,16,80,0,31,3,25,3,7
38,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,24,Male,1,Research Scientist,Single,3944,5,Y,Yes,11,80,0,6,3,3,1,2
24,No,Non-Travel,Research & Development,11,2,Other,1,26,Female,2,Manufacturing Director,Divorced,4011,0,Y,No,18,80,1,5,5,4,1,3
36,Yes,Travel_Rarely,Sales,9,4,Life Sciences,1,27,Male,1,Sales Representative,Single,3407,7,Y,No,23,80,0,10,4,5,0,3
34,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,28,Female,3,Research Director,Single,11994,0,Y,No,11,80,0,13,4,12,2,11
21,No,Travel_Rarely,Research & Development,15,2,Life Sciences,1,30,Male,1,Research Scientist,Single,1232,1,Y,No,14,80,0,0,6,0,0,0
34,Yes,Travel_Rarely,Research & Development,6,1,Medical,1,31,Male,1,Research Scientist,Single,2960,2,Y,No,11,80,0,8,2,4,1,3
53,No,Travel_Rarely,Research & Development,5,3,Other,1,32,Female,5,Manager,Divorced,19094,4,Y,No,11,80,1,26,3,14,4,8
32,Yes,Travel_Frequently,Research & Development,16,1,Life Sciences,1,33,Female,1,Research Scientist,Single,3919,1,Y,Yes,22,80,0,10,5,10,6,7
42,No,Travel_Rarely,Sales,8,4,Marketing,1,35,Male,2,Sales Executive,Married,6825,0,Y,No,11,80,1,10,2,9,4,2
44,No,Travel_Rarely,Research & Development,7,4,Medical,1,36,Female,3,Healthcare Representative,Married,10248,3,Y,No,14,80,1,24,4,22,5,17
46,No,Travel_Rarely,Sales,2,4,Marketing,1,38,Female,5,Manager,Single,18947,3,Y,No,12,80,0,22,2,2,2,1
33,No,Travel_Rarely,Research & Development,2,3,Medical,1,39,Male,1,Laboratory Technician,Single,2496,4,Y,No,11,80,0,7,3,1,0,0
44,No,Travel_Rarely,Research & Development,10,4,Other,1,40,Male,2,Healthcare Representative,Married,6465,2,Y,Yes,13,80,0,9,5,4,1,3
30,No,Travel_Rarely,Research & Development,9,2,Medical,1,41,Male,1,Laboratory Technician,Single,2206,1,Y,No,13,80,0,10,5,10,1,8
39,Yes,Travel_Rarely,Sales,5,3,Technical Degree,1,42,Male,2,Sales Representative,Married,2086,3,Y,No,14,80,1,19,6,1,0,0
24,Yes,Travel_Rarely,Research & Development,1,3,Medical,1,45,Male,1,Research Scientist,Married,2293,2,Y,Yes,16,80,1,6,2,2,2,0
43,No,Travel_Rarely,Research & Development,2,2,Medical,1,46,Female,1,Research Scientist,Divorced,2645,1,Y,No,12,80,2,6,3,5,1,4
50,Yes,Travel_Rarely,Sales,3,2,Marketing,1,47,Male,1,Sales Representative,Married,2683,1,Y,Yes,14,80,0,3,2,3,0,2
